Date,Kshape,Kmeans,TSKM-E,Clarans,Kmedoids
2016-10-24,-0.00023989115511553942,7.624733131498877e-07,-6.314840038103564e-06,7.567853251294479e-08,0.0003049159454520177
2016-10-25,-0.00022433722057440275,7.175979115768482e-07,-5.808869321482025e-06,7.202290674800904e-08,0.0002869701035947402
2016-10-26,-0.00022663048995397522,7.234387551064759e-07,-5.869352544928246e-06,7.257183841839681e-08,0.00028930587888858784
2016-10-27,-0.0002050511097555996,6.407258084949635e-07,-5.172956901853851e-06,6.564786357750215e-08,0.0002562286604703038
2016-10-28,-0.00019479934413157418,6.022725166848904e-07,-4.940935555346075e-06,6.456156400209379e-08,0.0002408510444596227
2016-10-31,-0.0001772431169735521,5.555988265915536e-07,-4.549028169268836e-06,6.567066852425226e-08,0.00021203011601188195
2016-11-01,-0.0001703703262424708,5.449111022605131e-07,-4.4685418290185344e-06,5.64431221853794e-08,0.00022342956450188003
2016-11-02,-0.0001588267884849224,5.224614952877918e-07,-4.289660052611474e-06,4.929733837581245e-08,0.00022563008637195323
2016-11-03,-0.00014434139738722808,4.943146492330144e-07,-3.925088352275665e-06,4.6174789909077605e-08,0.00021853200634989407
2016-11-04,-0.00014385153579598813,4.991534006601584e-07,-3.948375585964923e-06,4.411160341764309e-08,0.00022510754885764935
2016-11-07,-0.00018466646665797918,5.982326791173104e-07,-4.702239082817665e-06,6.340622228160875e-08,0.00023269265930445817
2016-11-08,-0.00018941653593021902,6.097803895976034e-07,-4.763457525821598e-06,6.861773438404655e-08,0.0002276714329732911
2016-11-09,-0.00024410920967292708,7.550221928317692e-07,-5.745880198425206e-06,7.89668033430537e-08,0.0002902087087517087
2016-11-10,-0.00025630142449667133,8.200308094169177e-07,-5.766469185093379e-06,7.918775395100845e-08,0.0003331524325487057
2016-11-11,-0.0002397734313143598,7.758768262002988e-07,-5.4559016687654555e-06,7.598244637470939e-08,0.0003192026252973956
2016-11-14,-0.0002318936773829891,7.582876925589284e-07,-5.172362688184694e-06,7.710731598268019e-08,0.00031307412106017425
2016-11-15,-0.0002575259582369448,8.132082067404557e-07,-5.510798125998141e-06,9.067081713837626e-08,0.000317359331041979
2016-11-16,-0.0002604402924516326,8.219211355733433e-07,-5.671437919185055e-06,8.729223903379941e-08,0.00032464040430376517
2016-11-17,-0.0002785160263413364,8.523214332615612e-07,-5.977371181849536e-06,9.415249807097983e-08,0.0003278628540611013
2016-11-18,-0.00026770539078263257,8.303066427780924e-07,-5.7279117567346695e-06,9.015689437643611e-08,0.0003292940765778887
2016-11-21,-0.000296159941185773,8.931526621865308e-07,-6.091484111898086e-06,1.0540575371910886e-07,0.0003355913650808923
2016-11-22,-0.00028506232135584535,8.774949224470635e-07,-5.817134838968469e-06,1.109410918516797e-07,0.00031906585346626315
2016-11-23,-0.00029185666533576376,9.138127924361963e-07,-5.8777563702328195e-06,1.1145300223033555e-07,0.0003379077779494622
2016-11-24,-0.00029185666533576376,9.138127924361963e-07,-5.8777563702328195e-06,1.1145300223033555e-07,0.0003379077779494622
2016-11-25,-0.0002934202124690781,9.062220475590051e-07,-5.873744631217079e-06,1.213805225320814e-07,0.0003152818129812075
