Date,Kshape,Kmeans,TSKM-E,Clarans,Kmedoids
2014-01-01,,,,,
2014-01-02,,,,,
2014-01-03,,,,,
2014-01-06,,,,,
2014-01-07,,,,,
2014-01-08,,,,,
2014-01-09,,,,,
2014-01-10,,,,,
2014-01-13,,,,,
2014-01-14,,,,,
2014-01-15,,,,,
2014-01-16,,,,,
2014-01-17,,,,,
2014-01-20,,,,,
2014-01-21,,,,,
2014-01-22,,,,,
2014-01-23,,,,,
2014-01-24,,,,,
2014-01-27,,,,,
2014-01-28,,,,,
2014-01-29,,,,,
2014-01-30,,,,,
2014-01-31,-0.024768482413672386,-0.024709720142957754,-0.028414674944648742,-0.019280834478950622,-0.024709720142957754
2014-02-03,-0.0809371709860383,-0.08669194770007892,-0.08383446749541298,-0.0914016029700309,-0.08669194770007892
2014-02-04,0.026489719762121236,0.02924117879045904,0.029129788103147224,0.027581674882442463,0.02924117879045904
2014-02-05,-0.0121539258492412,-0.008326625369589044,-0.010243007664945363,-0.004191059285754316,-0.008326625369589044
2014-02-06,0.04619943891838731,0.04733321956937594,0.0478583142344408,0.044733322241050665,0.04733321956937594
2014-02-07,0.05106878655437469,0.05465452874962302,0.051082146703131825,0.058312538083481476,0.05465452874962302
2014-02-10,0.010949211138941033,0.008431044737759939,0.011347393045330383,0.006382053701255323,0.008431044737759939
2014-02-11,0.044684017151102574,0.04559870990065179,0.04421834285517964,0.04709988028260196,0.04559870990065179
2014-02-12,0.003577282173618079,0.004909090133021537,0.00183434709265856,0.00706291943041365,0.004909090133021537
2014-02-13,0.02333554853823802,0.02150611969940469,0.022245743290684128,0.01956061840953414,0.02150611969940469
2014-02-14,0.01847878638816286,0.018321035711901662,0.018052316646291075,0.01785391492733883,0.018321035711901662
2014-02-17,0.0,0.0,0.0,0.0,0.0
2014-02-18,0.015257893497523429,0.011388253220373899,0.013093678930896888,0.005628306669601944,0.011388253220373899
2014-02-19,-0.03021697237056099,-0.0258792320641312,-0.030212951288384818,-0.022915681979117364,-0.0258792320641312
2014-02-20,0.0252450359737747,0.02502579672965072,0.024332807591235753,0.026501984787316926,0.02502579672965072
2014-02-21,-0.002057562118418168,-0.004466550158761679,-0.001584814689725955,-0.005341586131597061,-0.004466550158761679
2014-02-24,0.023474857555655662,0.02400028152881333,0.023267187894317778,0.022711499477451477,0.02400028152881333
2014-02-25,-0.009177943173645073,-0.005199355531509465,-0.006305098381398433,-0.0036825649506802035,-0.005199355531509465
2014-02-26,-0.0031566409747294105,0.0006046536678707319,-0.0015536770217744462,0.0030317159006808384,0.0006046536678707319
2014-02-27,0.01551844544834162,0.020032451900241555,0.01650293346392156,0.023954123456873106,0.020032451900241555
2014-02-28,0.012684145499073303,0.014022326234562585,0.014519935511667961,0.014519935511667961,0.014022326234562585
2014-03-03,-0.029469385121346822,-0.030199778162545238,-0.030559487230177748,-0.030559487230177748,-0.030199778162545238
2014-03-04,0.06350460441892972,0.060383943833134154,0.061176214110559964,0.061176214110559964,0.060383943833134154
2014-03-05,0.0008684132690038922,0.0010908890036575225,0.0011182292119096674,0.0011182292119096674,0.0010908890036575225
2014-03-06,0.00583408992626019,0.00766981148788627,0.004199658744262094,0.004199658744262094,0.00766981148788627
2014-03-07,0.007472262077140637,0.006036942844539258,0.007428585719261265,0.007428585719261265,0.006036942844539258
2014-03-10,0.0005374390500387564,-0.0009541695430254989,-0.000286900539720666,-0.000286900539720666,-0.0009541695430254989
2014-03-11,-0.024354112668767258,-0.021877644605559403,-0.021292670642983968,-0.021292670642983968,-0.021877644605559403
